date,close,volume,open,high,low
9/19/2017,53.33,14676750,52.78,54.05,52.51
9/18/2017,53.5,8165325,53.87,54.16,53.4
9/15/2017,53.87,9999372,53.86,54.06,53.52
9/14/2017,53.73,7488924,53.54,53.89,53.12
9/13/2017,53.52,6079979,53.45,53.64,53.04
9/12/2017,53.4,7825328,53.77,54.09,53.3
9/11/2017,53.03,8649671,52.38,53.13,52.32
9/8/2017,52.2,8554996,52.25,52.51,52.11
9/7/2017,52.39,6905672,52.76,52.85,52.34
9/6/2017,52.76,7401460,53.12,53.34,52.71
9/5/2017,53.01,6680199,53.25,53.47,52.88
9/1/2017,53.36,5509700,53,53.45,52.9
8/31/2017,52.81,7709090,52.6,52.98,52.47
8/30/2017,52.56,7141739,52.8,52.96,52.25
8/29/2017,52.73,12526610,52.74,52.8775,52.065
8/28/2017,53.73,5267309,54.07,54.43,53.615
8/25/2017,53.9,6416006,54.03,54.2,53.5375
8/24/2017,53.84,5461910,53.93,53.97,53.46
8/23/2017,53.61,6408312,53.92,54.08,53.445
8/22/2017,54.13,8212705,53.92,54.41,53.79
8/21/2017,53.61,14275780,54.44,54.44,53.105
8/18/2017,54.95,22863480,54.85,55.42,54.17
8/17/2017,57.46,8912592,58.53,58.7445,57.42
8/16/2017,58.54,5489569,58.9,59.05,58.221
8/15/2017,58.56,8912871,58.94,59.01,58.29
8/14/2017,59.78,5899971,59.15,60,59.13
8/11/2017,58.97,4979984,58.73,59.27,58.59
8/10/2017,59.07,5584793,59.68,59.69,59.06
8/9/2017,59.9,5310893,59.42,59.965,59.26
8/8/2017,59.46,5582400,59.88,60.12,59.36
8/7/2017,59.79,4066712,59.82,60.1,59.71
8/4/2017,59.76,4105948,60.17,60.34,59.63
8/3/2017,60.14,5677110,59.8,60.53,59.64
8/2/2017,59.79,4132948,59.55,59.95,59.27
8/1/2017,59.84,9028600,59,59.94,58.9
7/31/2017,59.05,6224990,58.71,59.12,58.33
7/28/2017,58.67,5112725,58.15,58.735,57.97
7/27/2017,58.15,8103612,58.6,58.68,57.985
7/26/2017,58.36,5522246,59.09,59.13,58.32
7/25/2017,59.39,5146517,59.32,59.52,58.92
7/24/2017,58.95,7497800,59.69,59.7701,58.761
7/21/2017,59.95,11048020,59,60,58.91
7/20/2017,59.1,11905760,59.12,59.59,58.8
7/19/2017,57.77,4434998,57.6,57.875,57.3925
7/18/2017,57.65,4916874,57.74,58.08,57.47
7/17/2017,57.79,6878816,58,58.35,57.755
7/14/2017,58,6344849,57.95,58.21,57.64
7/13/2017,57.94,8107976,58.22,58.58,57.93
7/12/2017,58.22,7239490,58.31,58.75,58.1
7/11/2017,58.18,7222299,58.54,58.93,58.04
7/10/2017,58.73,8942165,57.89,58.81,57.68
7/7/2017,57.98,8026045,57.4,58.08,57.03
7/6/2017,57.16,9035228,57.45,57.72,57
7/5/2017,57.56,16165830,58.24,58.29,57.51
7/3/2017,58.65,9910021,58.37,59.01,58.33
6/30/2017,59,46530150,56.6,59.71,56.5
6/29/2017,53.17,13334530,53.33,53.63,52.99
6/28/2017,53.36,7513042,53.17,53.61,52.96
6/27/2017,52.95,7867410,53.19,53.26,52.64
6/26/2017,53.28,7834458,52.95,53.57,52.67
6/23/2017,52.85,8522104,52.15,52.915,51.67
6/22/2017,52.4,10327580,52.6,52.62,52.09
6/21/2017,52.59,13018700,51.9,52.685,51.9
6/20/2017,51.56,10676450,52.05,52.13,51.1
6/19/2017,52.02,11172470,51.42,52.22,51.4
6/16/2017,51.1,25680970,51.75,51.84,50.79
6/15/2017,52.9,16039290,54,54.05,52.73
6/14/2017,54.66,6772551,54.48,54.67,53.95
6/13/2017,54.31,8712854,54.03,54.66,53.84
6/12/2017,54.03,9180069,53.51,54.25,53.5
6/9/2017,53.46,8346810,53.2,53.47,52.8
6/8/2017,53.2,7764790,53.54,54.14,53.15
6/7/2017,53.23,7429273,52.79,53.36,52.75
6/6/2017,52.48,8922847,52.9,53.1,52.43
6/5/2017,53.01,5748870,53,53.23,52.7
6/2/2017,52.98,18509320,52.7,53.01,52.36
6/1/2017,52.3,13351020,53.06,53.3,52.21
5/31/2017,52.99,8950286,53.02,53.2799,52.71
5/30/2017,52.92,8038361,52.76,53.02,52.64
5/26/2017,52.59,5919209,52.35,52.76,52.23
5/25/2017,52.35,7627409,52.38,52.59,52.21
5/24/2017,52.01,9402822,52.25,52.3,51.74
5/23/2017,52.2,11087280,51.98,52.625,51.88
5/22/2017,51.57,13671220,51.77,51.96,51.4
5/19/2017,51.77,20029180,51,52.11,50.81
5/18/2017,51.68,22569710,51.97,52.08,51.3
5/17/2017,51.8,18341380,52.39,52.87,51.8
5/16/2017,52.78,14559720,52.37,53.38,52.12
5/15/2017,53.77,8181368,54.12,54.2,53.68
5/12/2017,54.2,5597618,54.1,54.39,53.79
5/11/2017,54.24,6483611,54.52,54.52,53.4
5/10/2017,54.56,5808565,54.91,55.06,54.51
5/9/2017,54.89,6441141,54.33,55.08,54.16
5/8/2017,54.3,8727961,54.18,54.51,53.83
5/5/2017,53.95,13373650,54.41,54.5,53.56
5/4/2017,54.47,6830025,54.68,54.83,54.2
5/3/2017,54.53,9474727,55.17,55.3,54.4
5/2/2017,55.07,7294812,55.12,55.16,54.79
5/1/2017,54.99,4881317,55.43,55.45,54.98
4/28/2017,55.41,6437601,55.43,55.53,55.14
4/27/2017,55.47,8557981,55.18,55.57,54.91
4/26/2017,55.16,10933750,55.46,55.84,55.12
4/25/2017,55.45,8960301,55.53,55.77,55.41
4/24/2017,55.47,10777580,56.14,56.21,55.47
4/21/2017,55.85,6055618,56.29,56.38,55.68
4/20/2017,56.4,6866939,55.96,56.69,55.881
4/19/2017,55.86,5947666,56.16,56.22,55.74
4/18/2017,56.11,5651048,56.02,56.42,55.8
4/17/2017,56.24,7688595,55.32,56.335,55.25
4/13/2017,55.34,5282098,55.41,55.6,55.26
4/12/2017,55.57,8502592,54.66,55.62,54.5
4/11/2017,54.92,4348602,54.95,55.0699,54.55
4/10/2017,54.9,5472557,55,55.33,54.721
4/7/2017,55.11,6072739,55.1,55.24,54.77
4/6/2017,55.14,6692088,55.07,55.94,54.94
4/5/2017,54.98,7712869,54.97,55.8,54.5
4/4/2017,55.04,8843031,55.15,55.3,54.83
4/3/2017,55.56,7088035,55.74,55.8,55.15
3/31/2017,55.73,5905359,56,56.03,55.645
3/30/2017,56.04,7208749,56.48,56.6,55.81
3/29/2017,56.68,7456138,56.41,57.1,56.35
3/28/2017,56.62,7823808,55.99,56.78,55.79
3/27/2017,55.93,8640646,55.64,56.249,55.54
3/24/2017,56.36,14412050,55.29,56.64,55.12
3/23/2017,55.37,23845220,54.61,55.55,54.52
3/22/2017,53.92,37402210,54.76,55,53.76
3/21/2017,58.01,14696970,58.78,59,57.72
3/20/2017,58.68,13351890,58,58.81,57.96
3/17/2017,57.8,10773730,57.77,57.885,57.31
3/16/2017,57.6,9894868,57.43,57.72,56.83
3/15/2017,57.66,10067270,57.63,57.99,56.75
3/14/2017,57.28,9286807,56.87,58.01,56.72
3/13/2017,56.67,7234856,56.4,56.815,56.11
3/10/2017,56.43,8882391,56.49,56.99,56.26
3/9/2017,56.36,6165628,56.61,56.66,56.09
3/8/2017,56.51,7604631,56.94,56.94,56.31
3/7/2017,56.55,7124351,56.71,56.99,56.02
3/6/2017,56.77,6896304,56.7,56.93,56.53
3/3/2017,56.7,9192319,57.63,57.65,56.51
3/2/2017,57.8,6436669,57.9,58.25,57.65
3/1/2017,57.95,8558833,57.86,58.03,57.33
2/28/2017,57.16,7951140,57.37,57.55,56.855
2/27/2017,57.69,4375471,57.65,57.83,57.3488
2/24/2017,57.86,9684151,57.39,58.42,57.07
2/23/2017,57.39,12315290,58.11,58.4,57.27
2/22/2017,58.24,10912490,57.48,58.38,57.36
2/21/2017,57.36,10954850,56.38,57.45,56.2
2/17/2017,56.75,12637500,56.12,56.8,55.86
2/16/2017,56.29,8374077,56.88,56.92,56.1
2/15/2017,56.64,6651959,56.29,56.76,56.21
2/14/2017,56.45,8891420,55.92,56.69,55.83
2/13/2017,56.09,7679528,56.17,56.34,55.75
2/10/2017,56.22,14973100,55.63,56.47,55.63
2/9/2017,55.31,14344530,53.93,55.7,53.93
2/8/2017,53.88,9280428,52.74,53.94,52.7
2/7/2017,52.81,6440107,53.07,53.28,52.67
2/6/2017,52.8,7336727,52.09,52.8,52.05
2/3/2017,52.36,8819867,52.62,52.805,52.25
2/2/2017,52.8,7870518,53,53.01,52.4801
2/1/2017,53.02,8807232,52.98,53.26,52.61
1/31/2017,52.9,12284190,51.68,52.9,51.63
1/30/2017,53.08,9770193,52.78,53.22,52.41
1/27/2017,53.19,7361856,53.68,54.08,53.03
1/26/2017,53.65,6201590,54.11,54.12,53.36
1/25/2017,53.86,6660247,53.73,54.12,53.69
1/24/2017,53.45,6273170,53.02,53.57,52.99
1/23/2017,53.24,6959254,53.02,53.26,52.7247
1/20/2017,53.2,7805560,53.22,53.352,52.9
1/19/2017,52.93,8320075,53.84,53.94,52.89
1/18/2017,53.27,6732754,53.86,53.89,52.86
1/17/2017,53.65,9887948,53.4,53.95,53.01
1/13/2017,52.92,6691908,52.59,52.93,52.23
1/12/2017,52.4,7325408,52.51,52.69,52.16
1/11/2017,52.69,8208297,53.12,53.29,52.665
1/10/2017,53.11,8041363,53.55,53.7301,53.11
1/9/2017,53.38,8823213,53.96,53.99,53.215
1/6/2017,53.91,12526190,53.09,54.09,52.98
1/5/2017,53.06,8673284,52.92,53.1,52.44
1/4/2017,53.07,13686230,52.23,53.345,52.09
1/3/2017,51.98,13287280,51.99,52.5,51.77
12/30/2016,50.83,7383343,51.1,51.33,50.7
12/29/2016,51.06,4679736,51,51.24,50.88
12/28/2016,51.02,6264995,51.31,51.5,50.87
12/27/2016,51.29,8153746,51.8,52.25,51.2
12/23/2016,51.91,9356743,51.99,52.35,51.67
12/22/2016,52.14,11798600,52.8,53,52.0255
12/21/2016,52.3,23211280,52.9,53.35,51.55
12/20/2016,51.79,14741170,51.06,51.99,50.75
12/19/2016,50.85,9423102,50.91,51.36,50.48
12/16/2016,50.92,13971530,51.6,51.64,50.67
12/15/2016,51.29,9545119,52,52.04,51.09
12/14/2016,51.79,8001727,52.24,52.34,51.59
12/13/2016,52.3,11331090,51.83,53.215,51.83
12/12/2016,51.54,11458300,51.5,51.9,50.94
12/9/2016,51.72,5861312,51.76,51.9699,51.5
12/8/2016,51.55,9255664,52.15,52.47,51.45
12/7/2016,52.1,10363830,50.79,52.25,50.5968
