date,close,volume,open,high,low
7/18/2017,211.45,962497,208.74,212.5,208.265
7/17/2017,208.25,1169388,209.11,209.8898,206
7/14/2017,209.21,799367,210.39,211.72,208.81
7/13/2017,210.45,838531,213.81,214.32,209.585
7/12/2017,213.54,515314,212.46,214.97,211.6
7/11/2017,212.11,775595,211.22,212.57,209.67
7/10/2017,211.62,571960,212.69,212.84,209.3987
7/7/2017,212.32,444206,209.23,213.7499,209.23
7/6/2017,208.84,624585,206.96,210.25,205.1646
7/5/2017,208.03,582591,209.24,211.06,207.19
7/3/2017,209.92,176950,211.55,212.47,209.19
6/30/2017,211.53,534761,211.27,213.65,210.61
6/29/2017,210.75,652574,213.51,213.51,207.76
6/28/2017,213.6,739671,213.51,214.49,211.27
6/27/2017,213.14,620292,219.44,219.44,213
6/26/2017,218.88,566451,217.52,221.58,217.06
6/23/2017,217.05,624107,217.89,218.63,215.695
6/22/2017,218.09,571755,216.08,218.43,215.18
6/21/2017,216.09,402748,215.57,216.79,214.96
6/20/2017,215.03,601734,215.84,217.62,214.01
6/19/2017,215.73,920144,211.13,215.87,211.025
6/16/2017,210.84,1406618,209.82,211.95,208.93
6/15/2017,209.56,437995,208.96,209.91,206.345
6/14/2017,210.56,709352,209.42,212.745,208.83
6/13/2017,208.4,712360,204.83,210.14,204.36
6/12/2017,204.07,905885,205,205.93,201.1
6/9/2017,206.19,1365836,213.9,215.135,204.63
6/8/2017,217.88,410192,218.22,218.58,216.71
6/7/2017,218.15,514063,218.51,218.63,215.68
6/6/2017,217.85,912227,217,218.43,216.17
6/5/2017,217.1,449271,217.99,218.21,216
6/2/2017,218.05,728972,215.69,219.41,214.58
6/1/2017,215.34,899344,213.78,215.49,210.88
5/31/2017,211.72,739012,208.91,212.05,208.06
5/30/2017,208.49,467399,207,208.68,206.68
5/26/2017,207.05,635959,207.01,207.72,206.645
5/25/2017,208.04,878782,205.41,208.3,205.07
5/24/2017,205.97,1082986,199.48,206.02,199.48
5/23/2017,199.25,488886,198.85,199.75,198.81
5/22/2017,198.82,603569,197.47,198.98,196.51
5/19/2017,195.8,644645,195.2,197.2531,193.55
5/18/2017,194.71,1096157,191.26,195.32,189.12
5/17/2017,191.46,595348,195.64,196.04,191.42
5/16/2017,196.23,430058,197.78,197.89,196.03
5/15/2017,196.52,826576,195.93,198,195.6416
5/12/2017,195.28,398616,195.39,196.39,194.75
5/11/2017,195.38,419787,195.54,196.21,194.102
5/10/2017,195.67,649990,193.98,196.36,193.4
5/9/2017,195.36,688478,192.99,196.025,191.39
5/8/2017,192.29,701723,193.19,193.22,191.63
5/5/2017,193.12,778755,190.42,193.53,189.6353
5/4/2017,190.39,1022316,187,191.08,186.85
5/3/2017,187.07,913095,185,187.21,184.36
5/2/2017,184.41,916686,182.44,184.49,182.01
5/1/2017,182.16,621472,181,182.82,181
4/28/2017,181.39,1068379,184.46,184.95,181.14
4/27/2017,185.55,2422005,187.1,188.85,183.77
4/26/2017,180.96,1278916,181.98,182.49,179.64
4/25/2017,180.59,670150,181.04,182.0353,179.78
4/24/2017,180.59,915516,181.71,181.8,179.835
4/21/2017,179.3,917838,177.61,180.15,177.45
4/20/2017,176.91,459920,176.79,177.08,175.07
4/19/2017,175.71,971667,177.01,177.42,175.51
4/18/2017,176.63,1208760,174.84,177.75,174.84
4/17/2017,175.04,676439,173.86,175.71,173.86
4/13/2017,174.04,690676,175.14,175.81,173.94
4/12/2017,175.13,691749,176.23,176.45,174.81
4/11/2017,175.51,781390,173.9,175.75,173
4/10/2017,173.75,1143225,175.17,176.45,173.19
4/7/2017,175.16,2876972,182.05,182.87,174.92
4/6/2017,186,401850,185.11,186.94,184.51
4/5/2017,185.14,538282,187.15,187.88,184.59
4/4/2017,186.36,555012,186.71,187.71,185.93
4/3/2017,186.23,751123,184.07,187.3,184.07
3/31/2017,184.3,479884,184.02,185.55,183.12
3/30/2017,184.11,614153,183.25,185.2,183.25
3/29/2017,182.77,560538,185.05,186.11,182.56
3/28/2017,184.94,438858,183.91,185.45,182.41
3/27/2017,183.95,523494,182,184.1,181.23
3/24/2017,182.95,907279,184.39,185.915,182.2
3/23/2017,184.35,481251,184.58,186.71,183.25
3/22/2017,184.13,691193,184.07,186.2,182.9
3/21/2017,184.02,1115263,184.78,186.28,182.74
3/20/2017,183.69,929815,184.72,185.21,182.54
3/17/2017,184.83,869780,185.79,186.411,184.31
3/16/2017,185.62,759374,186.27,186.3,183.09
3/15/2017,186.27,917281,184.12,187.37,183.34
3/14/2017,183.67,693915,186.42,187.13,183.03
3/13/2017,186.79,616691,185.96,187.36,184.92
3/10/2017,186.73,687307,185.07,188.07,185
3/9/2017,184.69,1050039,187.31,187.5,183.75
3/8/2017,188.36,398751,189.31,190.0171,188.26
3/7/2017,189.3,442434,187.84,190.11,187.83
3/6/2017,188.89,430328,188.29,189.39,187.33
3/3/2017,189.04,566689,190.21,190.4,188.535
3/2/2017,189.37,802394,187.89,189.65,187.14
3/1/2017,187.45,1154935,191.64,192.01,185.53
2/28/2017,189.81,2158197,186.57,191.83,182.26
2/27/2017,185.42,1227988,185.7,187.89,184.81
2/24/2017,186.28,859088,185.66,187.86,184.97
2/23/2017,186.3,1029108,183,186.33,182.39
2/22/2017,183,1356996,186.54,187.215,182.06
2/21/2017,188.92,450353,188.21,189.88,188.12
2/17/2017,187.93,458793,186.11,187.99,184.76
2/16/2017,186.1,313627,186.28,186.49,184.75
2/15/2017,185.94,618160,183.59,186.215,183.51
2/14/2017,184.91,526174,183.27,185.28,182.88
2/13/2017,183.8,781173,187,187.45,183.76
2/10/2017,186.37,647252,185.16,187.94,184.59
2/9/2017,185.9,704360,185.81,187.6,185.32
2/8/2017,185.18,837932,183.11,185.5998,182.45
2/7/2017,182.96,1561431,178.82,184.1,178.59
2/6/2017,177.94,844481,175.23,178.08,175.04
2/3/2017,175.89,750089,175.23,177.3,174.32
2/2/2017,174.91,1155205,171.67,175.04,170.66
2/1/2017,170.89,662219,174.81,175.84,170.0604
1/31/2017,174.54,821473,173.7,175.09,172.51
1/30/2017,173.93,655437,171.13,174.02,170.99
1/27/2017,172.02,462264,170.55,172.39,170.07
1/26/2017,170.94,322058,169.76,171.32,169.23
1/25/2017,170.57,295836,170,170.85,169.56
1/24/2017,169.51,601599,167.16,169.75,167.16
1/23/2017,167.04,584030,167.68,168.41,165.67
1/20/2017,167.87,436873,167.92,168.72,167.11
1/19/2017,166.04,340838,166,166.35,165.19
1/18/2017,165.57,527763,164.97,165.82,164.49
1/17/2017,164.93,483701,166.65,167.36,164.32
1/13/2017,167.16,475747,168.22,168.81,166.35
1/12/2017,168.36,601076,168.23,170.055,167.03
1/11/2017,168.96,705210,166.91,169.29,166.41
1/10/2017,166.36,834199,164.98,172,164.53
1/9/2017,164.51,478622,163.33,165.33,163.09
1/6/2017,163.49,548495,163.12,164.4,162.18
1/5/2017,162.77,482054,162.95,164,161.6
1/4/2017,162.99,678867,158.41,163.33,158.05
1/3/2017,158.36,797593,159.22,159.41,156.26
12/30/2016,159.24,491490,162.5,162.5,158.94
12/29/2016,162.36,308469,161.38,162.959,161.01
12/28/2016,161.25,292613,161.65,162.5399,160.745
12/27/2016,161.97,269587,161.46,162.5,161.08
12/23/2016,161.57,276957,161.16,161.915,160.39
12/22/2016,161.33,432445,163.11,163.45,160.73
12/21/2016,162.63,387850,161.3,163.93,161.2051
12/20/2016,161.1,305561,161.11,162.98,160.85
12/19/2016,161.23,573001,160.21,161.71,159.895
12/16/2016,160.04,871028,160.27,160.61,159.25
12/15/2016,159.78,628063,162.5,162.75,159.71
12/14/2016,161.99,473444,162.52,163.63,161.24
12/13/2016,161.86,494678,162.05,163.3,161.2101
12/12/2016,161.87,765079,162.94,164.02,157.97
12/9/2016,163.57,501615,165.27,165.86,162.36
12/8/2016,164.53,751440,167.73,168.62,163.6501
12/7/2016,167.72,815433,168.78,169.6,166.51
12/6/2016,169.09,381459,166.96,169.14,166.84
12/5/2016,166.29,667452,168.73,169.21,165.98
12/2/2016,168,371294,167.92,169.21,167.05
12/1/2016,168.7,487652,168.38,169.04,165.46
11/30/2016,168.04,606797,170.91,170.93,167.89
11/29/2016,170.87,398255,169.88,171.48,168.79
11/28/2016,170.04,392479,171.66,171.89,169.58
11/25/2016,172.26,276681,170.53,172.62,170.09
11/23/2016,170.56,352497,168.12,170.56,168.07
11/22/2016,168.47,435969,166.7,168.56,166.05
11/21/2016,166.46,508581,164.72,166.59,164.72
11/18/2016,164.31,513030,162.34,164.53,162.08
11/17/2016,161.57,601239,161.59,162.5,160.397
11/16/2016,161.57,558665,161.01,163.45,160.15
11/15/2016,161.34,874561,157.3,161.55,156.61
11/14/2016,157.17,1114930,160.3,161.22,153.58
11/11/2016,159.62,1008058,161.33,162.93,158.06
11/10/2016,161.11,2151473,171.51,171.51,160.0101
11/9/2016,170.36,528869,167.36,171.38,167.31
11/8/2016,168.89,370548,168.53,169.3,167.25
11/7/2016,168.21,438639,168.57,169.475,167.48
11/4/2016,166.76,595594,165.54,167.14,165.47
11/3/2016,166.17,506823,167.07,167.925,166
11/2/2016,167.25,505443,167.35,168.47,167.07
11/1/2016,167.56,704181,169.85,169.98,166.6
10/31/2016,169.24,618110,168.25,169.51,167.23
